email,first_name,last_name,region,sources
customer170@company.com,Kofi,Williams,EU,"crm,website"
customer451@yahoo.com,Mike,Jones,APAC,"crm,website"
customer80@company.com,François,Martínez,US,"crm,website"
customer566@company.com,John,Asante,US,"crm,website"
customer546@gmail.com,Akosua,López,US,"crm,website,erp"
customer572@company.com,Mike,Díaz,US,"crm,website"
customer186@gmail.com,Kwame,González,EU,"crm,website,erp"
customer175@yahoo.com,O'Brien,Wang,EU,crm
customer656@company.com,John,Brown,US,"crm,website"
customer648@gmail.com,Evans,Kim,EU,"crm,website"
customer694@yahoo.com,François,Johnson,EU,"crm,website"
customer246@gmail.com,Sarah,Williams,EU,"crm,website"
customer91@yahoo.com,Kwame,Boateng,US,crm
customer587@company.com,Abena,Garcia,EU,"crm,website"
customer711@gmail.com,John,Johnson,US,crm
customer560@company.com,José,Asante,EU,"crm,website"
customer133@yahoo.com,John,Smith,APAC,"crm,website"
customer491@company.com,Maria,Mensah,US,"crm,website,erp"
customer0@gmail.com,Léa,Martínez,APAC,"crm,website"
customer689@company.com,Kofi,Boateng,US,crm
customer388@yahoo.com,Léa,Williams,US,"crm,erp"
customer255@gmail.com,Chris,Smith,APAC,"crm,website"
customer348@gmail.com,José,Martínez,EU,"crm,website,erp"
customer659@company.com,John,López,US,"crm,website"
customer696@gmail.com,François,Kim,EU,crm
customer421@yahoo.com,Sarah,Díaz,APAC,"crm,website"
customer512@company.com,Evans,Jones,APAC,crm
customer283@yahoo.com,Müller,Williams,EU,"crm,website"
customer471@gmail.com,Yaw,González,EU,crm
customer181@yahoo.com,Akosua,Kim,US,"crm,website"
customer362@company.com,Abena,López,EU,"crm,website"
customer240@gmail.com,Evans,Díaz,US,"crm,website"
customer220@yahoo.com,Evans,Kim,EU,"crm,website"
customer634@yahoo.com,John,Boateng,US,crm
customer408@gmail.com,Yaw,Kim,APAC,"crm,website"
customer398@company.com,Maria,Johnson,EU,"crm,website"
customer250@yahoo.com,Akosua,Smith,EU,crm
customer198@gmail.com,Kofi,Mensah,US,"crm,website"
customer144@gmail.com,Mike,Martínez,EU,crm
customer760@yahoo.com,John,González,EU,"crm,website"
customer41@company.com,Sarah,Williams,EU,"crm,erp"
customer295@yahoo.com,Kofi,Kim,EU,"crm,website"
customer94@yahoo.com,José,Kim,US,crm
customer709@yahoo.com,Abena,Boateng,EU,crm
customer281@company.com,Müller,Smith,US,"crm,website"
customer191@company.com,Kwame,Martínez,APAC,crm
customer50@company.com,Kofi,Boateng,US,crm
customer618@gmail.com,Abena,Garcia,US,"crm,website"
customer18@gmail.com,José,Smith,APAC,"crm,website"
customer306@gmail.com,Kofi,Martínez,EU,"crm,website,erp"
customer330@gmail.com,Akosua,López,US,"crm,website"
customer686@company.com,Jane,Brown,US,"crm,website"
customer757@yahoo.com,José,Martínez,EU,"crm,website"
customer209@company.com,Maria,Martínez,APAC,"crm,website,erp"
customer139@yahoo.com,Alex,Garcia,APAC,"crm,website"
customer4@yahoo.com,Abena,Boateng,APAC,"crm,website"
customer107@company.com,John,López,US,crm
customer245@company.com,Müller,Smith,US,"crm,website"
customer517@yahoo.com,Ama,Jones,EU,"crm,website"
customer72@gmail.com,John,Garcia,US,"crm,website,erp"
customer385@yahoo.com,Jane,Johnson,EU,crm
customer21@gmail.com,Müller,López,APAC,"crm,website"
customer799@yahoo.com,Maria,Boateng,EU,"crm,website,erp"
customer615@gmail.com,John,Wang,APAC,"crm,website"
customer507@gmail.com,Sarah,Kim,EU,"crm,website"
customer28@yahoo.com,Evans,Johnson,US,crm
customer101@company.com,O'Brien,González,EU,"crm,website"
customer110@company.com,Abena,Smith,EU,"crm,website"
customer626@company.com,Mike,Asante,US,crm
customer751@yahoo.com,Kofi,Boateng,APAC,"crm,website,erp"
customer410@company.com,Müller,González,EU,"crm,website"
customer741@gmail.com,John,Martínez,EU,crm
customer380@company.com,Kwame,Wang,EU,"crm,erp"
customer365@company.com,André,López,US,crm
customer553@yahoo.com,André,Smith,EU,"crm,website"
customer313@yahoo.com,Müller,Boateng,EU,crm
customer47@company.com,Akosua,Boateng,EU,"crm,website"
customer702@gmail.com,Kofi,González,APAC,"crm,website"
customer62@company.com,Chris,Boateng,US,"crm,website"
customer460@yahoo.com,Kwame,González,EU,"crm,website"
customer299@company.com,Jane,Brown,EU,"crm,website"
customer180@gmail.com,John,Martínez,US,"crm,website"
customer606@gmail.com,Alex,Garcia,EU,crm
customer492@gmail.com,Alex,Boateng,EU,"crm,website"
customer777@gmail.com,Léa,Mensah,EU,"crm,erp"
customer506@company.com,Evans,Brown,EU,"crm,website"
customer518@company.com,Jane,Boateng,US,"crm,website"
customer126@gmail.com,Alex,Martínez,EU,"crm,website"
customer84@gmail.com,Ama,González,US,"crm,website"
customer63@gmail.com,Akosua,Brown,US,"crm,website"
customer312@gmail.com,Kofi,Brown,EU,"crm,website"
customer679@yahoo.com,Kofi,Martínez,APAC,"crm,website"
customer346@yahoo.com,Jane,Jones,APAC,crm
customer536@company.com,Kwame,Kim,APAC,"crm,website,erp"
customer428@company.com,John,Wang,US,"crm,website"
customer722@company.com,Jane,Williams,EU,"crm,website"
customer480@gmail.com,Mike,Johnson,US,crm
customer645@gmail.com,Maria,Williams,EU,"crm,website"
customer14@company.com,Evans,Wang,US,"crm,website"
customer324@gmail.com,Akosua,Wang,APAC,"crm,website,erp"
customer389@company.com,José,Mensah,EU,"crm,website"
customer758@company.com,François,Kim,EU,crm
customer171@gmail.com,Ama,Brown,EU,"crm,website,erp"
customer185@company.com,Léa,Williams,APAC,crm
customer502@yahoo.com,Jane,López,US,crm
