CustomerEmail,First Name,Last Name,Phone,Region,Registration Date,OptOut
customer92@company.com,Maria,Smith,+1 (555) 123-4567,North America,2020-01-01,0
customer620@company.com,José,Johnson,+44 20 7946 0958,us,2020-01-01,0
customer752@company.com,André,Williams,+44 20 7946 0958,N/A,2020-01-01,0
customer423@gmail.com,Léa,Brown,5551234567,europe,2020-01-01,0
customer141@gmail.com,François,Jones,+44 20 7946 0958,eu,2020-01-01,0
customer290@company.com,Müller,Garcia,020 7946 0958,APAC,2020-01-01,0
customer431@company.com,O'Brien,Martínez,5551234567,eu,2020-01-02,0
customer748@yahoo.com,John,Díaz,5551234567,US,2020-01-02,0
customer688@yahoo.com,Jane,López,invalid-phone,apac,2020-01-02,0
customer652@yahoo.com,Mike,González,555.123.4567,APAC,2020-01-02,0
customer700@yahoo.com,Sarah,Wang,5551234567,North America,2020-01-02,0
customer48@gmail.com,Alex,Kim,+1 (555) 123-4567,Asia Pacific,2020-01-02,0
customer301@yahoo.com,Chris,Mensah,020 7946 0958,Europe,2020-01-03,0
customer189@gmail.com,Ama,Asante,invalid-phone,Europe,2020-01-03,0
customer135@gmail.com,Kofi,Boateng,+81-3-1234-5678,eu,2020-01-03,1
customer554@company.com,Evans,Smith,+1 (555) 123-4567,EU,2020-01-03,0
customer403@yahoo.com,Abena,Johnson,020 7946 0958,EMEA,2020-01-03,0
customer601@yahoo.com,Kwame,Williams,+81-3-1234-5678,Asia,2020-01-03,0
customer340@yahoo.com,Akosua,Brown,+1 (555) 123-4567,North America,2020-01-04,0
customer756@gmail.com,Yaw,Jones,+44 20 7946 0958,eu,2020-01-04,0
customer703@yahoo.com,Maria,Garcia,+44 20 7946 0958,AP,2020-01-04,0
customer317@company.com,José,Martínez,020 7946 0958,united states,2020-01-04,1
customer617@company.com,André,Díaz,555.123.4567,US,2020-01-04,0
customer362@company.com,Léa,López,+1 (555) 123-4567,USA,2020-01-04,0
customer381@gmail.com,François,González,invalid-phone,europe,2020-01-05,0
customer232@yahoo.com,Müller,Wang,020 7946 0958,EMEA,2020-01-05,0
customer776@company.com,O'Brien,Kim,+44 20 7946 0958,eu,2020-01-05,0
customer343@yahoo.com,John,Mensah,5551234567,Europe,2020-01-05,0
customer548@company.com,Jane,Asante,+1 (555) 123-4567,eu,2020-01-05,0
customer552@gmail.com,Mike,Boateng,invalid-phone,EU,2020-01-05,1
customer528@gmail.com,Sarah,Smith,020 7946 0958,europe,2020-01-06,0
customer788@company.com,Alex,Johnson,+44 20 7946 0958,North America,2020-01-06,0
customer570@gmail.com,Chris,Williams,+81-3-1234-5678,,2020-01-06,0
customer182@company.com,Ama,Brown,+44 20 7946 0958,eu,2020-01-06,0
customer40@yahoo.com,Kofi,Jones,5551234567,North America,2020-01-06,0
customer550@yahoo.com,Evans,Garcia,5551234567,US,2020-01-06,0
customer396@gmail.com,Abena,Martínez,+44 20 7946 0958,apac,2020-01-07,0
customer703@yahoo.com,Kwame,Díaz,+44 20 7946 0958,Europe,2020-01-07,0
customer778@yahoo.com,Akosua,López,+44 20 7946 0958,EU,2020-01-07,0
customer493@yahoo.com,Yaw,González,020 7946 0958,us,2020-01-07,0
customer658@yahoo.com,Maria,Wang,555.123.4567,europe,2020-01-07,0
customer332@company.com,José,Kim,,APAC,2020-01-07,0
customer126@gmail.com,André,Mensah,invalid-phone,N/A,2020-01-08,0
customer557@company.com,Léa,Asante,020 7946 0958,united states,2020-01-08,0
customer556@yahoo.com,François,Boateng,invalid-phone,eu,2020-01-08,0
customer0@gmail.com,Müller,Smith,020 7946 0958,,2020-01-08,0
customer167@company.com,O'Brien,Johnson,+1 (555) 123-4567,Europe,2020-01-08,1
customer619@yahoo.com,John,Williams,invalid-phone,us,2020-01-08,0
customer18@gmail.com,Jane,Brown,+81-3-1234-5678,N/A,2020-01-09,0
customer331@yahoo.com,Mike,Jones,555.123.4567,EU,2020-01-09,0
customer583@yahoo.com,Sarah,Garcia,,eu,2020-01-09,0
customer455@company.com,Alex,Martínez,020 7946 0958,USA,2020-01-09,0
customer108@gmail.com,Chris,Díaz,+81-3-1234-5678,APAC,2020-01-09,0
customer267@gmail.com,Ama,López,+44 20 7946 0958,EU,2020-01-09,0
customer444@gmail.com,Kofi,González,020 7946 0958,europe,2020-01-10,0
customer239@company.com,Evans,Wang,020 7946 0958,Asia Pacific,2020-01-10,0
customer300@gmail.com,Abena,Kim,invalid-phone,EMEA,2020-01-10,0
customer601@yahoo.com,Kwame,Mensah,5551234567,us,2020-01-10,0
customer102@gmail.com,Akosua,Asante,020 7946 0958,AP,2020-01-10,0
customer249@gmail.com,Yaw,Boateng,555.123.4567,EU,2020-01-10,0
customer452@company.com,Maria,Smith,020 7946 0958,,2020-01-11,0
customer519@gmail.com,José,Johnson,555.123.4567,us,2020-01-11,0
customer152@company.com,André,Williams,invalid-phone,USA,2020-01-11,0
customer173@company.com,Léa,Brown,555.123.4567,apac,2020-01-11,1
customer342@gmail.com,François,Jones,+1 (555) 123-4567,AP,2020-01-11,0
